Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.45', '5.7', '8.8']
Betano-'Hatayspor-Pendikspor' ['2.02', '3.65', '3.55'] ### Smarkets-'Antalyaspor - Pendikspor' ['1.96', '6.2', '8']
Betano-'Istanbul Basaksehir FK-Alanyaspor' ['2.00', '3.55', '3.75'] ### Smarkets-'Istanbul Basaksehir - Boluspor' ['1.62', '8.2', '17']
Betano-'Caykur Rizespor-Adana Demirspor' ['2.37', '3.55', '2.90'] ### Smarkets-'Caykur Rizespor - Adana Demirspor' ['2.36', '4.1', '3.2']
Betano-'FC Barcelona-CA Osasuna' ['1.30', '5.50', '10.25'] ### Smarkets-'FC Barcelona - Osasuna' ['1.45', '5.7', '9']
Betano-'Os Belenenses-FC Pacos Ferreira' ['3.50', '3.05', '2.15'] ### Smarkets-'CF Os Belenenses - Paços de Ferreira' ['4.7', '3.75', '2.14']
Betano-'Caykur Rizespor-Adana Demirspor' ['2.37', '3.55', '2.90'] ### Smarkets-'Caykur Rizespor - Adana Demirspor' ['2.36', '4.2', 'ASK']
Betano-'Istanbul Basaksehir FK-Alanyaspor' ['2.07', '3.50', '3.55'] ### Smarkets-'Istanbul Basaksehir - Boluspor' ['1.62', '8.2', '17']
Betano-'FC Vizela-Boavista FC' ['2.40', '3.25', '3.05'] ### Smarkets-'Vizela - Boavista FC' ['2.38', '3.7', '3.7']
Betano-'Istanbul Basaksehir FK-Alanyaspor' ['2.02', '3.55', '3.60'] ### Smarkets-'Istanbul Basaksehir - Boluspor' ['1.62', '8.2', '17']
Betano-'CD Leganes-Burgos CF' ['2.05', '3.40', '3.75'] ### Smarkets-'Leganés - Burgos CF' ['2.28', '3.15', '4.9']
Betano-'Clermont Foot-RC Štrasburk' ['2.70', '3.25', '2.70'] ### Smarkets-'Clermont Foot - RC Strasbourg' ['2.6', '3.9', '3.95']
Betano-'Galatasaray SK-Kayserispor' ['1.23', '6.50', '12.50'] ### Smarkets-'Galatasaray - Kayserispor' ['1.22', '8.6', '16']
Betano-'CD Leganes-Burgos CF' ['2.07', '3.35', '3.75'] ### Smarkets-'Leganés - Burgos CF' ['2.28', '3.15', '4.9']
Betano-'Salford City-Colchester United' ['2.22', '3.55', '2.85'] ### Smarkets-'Salford City - Colchester United' ['2.2', '4.5', '3.3']
